"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45029","Colleton, SC","5","CA1","2","...","Population (persons) 1/",28294,27654,27717,27983,28590,28804,29502,30259,30622,30898,31559,31871,32151,32129,32494,33114,33475,33496,33614,33643,33905,34518,35184,35596,36132,36315,36708,36891,37253,37526,37891,38304,38339,38463,38543,38672,38728,38608,38765,39014,38864,38909,38482,38224,37781,37754,37740,37923
"45029","Colleton, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2274,2500,2699,3041,3390,3755,3984,4308,4720,5287,5905,6368,7031,7368,7964,8758,9228,9687,10293,11257,12031,12846,13125,13898,14176,14782,15579,16290,17229,17871,18745,19573,20898,21094,21383,22551,22928,24591,25965,27580,27181,27667,28820,29413,30280,31557,33272,34362
"45031","Darlington, SC","5","CA1","1","...","Personal income (thousands of dollars)",133258,147337,162682,180552,206448,232258,245908,272614,303060,341871,380094,419355,471388,491045,522568,583008,604264,632098,684993,751090,823129,868951,926972,990690,1026479,1090554,1144328,1235002,1299794,1377404,1432409,1524696,1599599,1607101,1646744,1711942,1771767,1877201,1921829,1981892,1926569,1982862,2058849,2105234,2185714,2212101,2302021,2345820
"45031","Darlington, SC","5","CA1","2","...","Population (persons) 1/",53590,53271,53538,53959,55702,58131,58939,59135,60566,61504,62746,62710,62478,62995,62572,62295,62152,62074,61684,61430,61833,62016,62771,63725,64572,64704,65223,65654,66180,66792,67029,67523,67863,68247,68382,68155,68185,68424,68489,68773,68705,68612,68246,68123,67855,67697,67534,67234
"45031","Darlington, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2487,2766,3039,3346,3706,3995,4172,4610,5004,5559,6058,6687,7545,7795,8351,9359,9722,10183,11105,12227,13312,14012,14768,15546,15897,16855,17545,18811,19640,20622,21370,22580,23571,23548,24082,25118,25985,27435,28060,28818,28041,28900,30168,30903,32212,32676,34087,34890
"45033","Dillon, SC","5","CA1","1","...","Personal income (thousands of dollars)",56239,61698,68856,75560,89046,99763,108517,116763,125709,146794,158093,168885,195789,203555,214387,238690,250230,257990,279211,295180,313987,329784,350244,377871,397452,430779,444267,482456,506886,518344,532739,560930,583240,590887,619405,648773,661869,676544,684504,734107,729322,733001,745085,758388,759905,763878,793351,825359
"45033","Dillon, SC","5","CA1","2","...","Population (persons) 1/",29394,28818,29043,28726,29357,29793,30412,30364,30301,30852,30858,31105,31094,31068,30802,30811,30793,30271,30318,29952,29608,29118,29261,29496,29742,30040,30142,30177,30309,30564,30682,30699,30995,31000,31093,31241,31239,31373,31433,31585,31817,32101,31776,31534,31416,31323,31235,30858
"45033","Dillon, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",1913,2141,2371,2630,3033,3349,3568,3845,4149,4758,5123,5430,6297,6552,6960,7747,8126,8523,9209,9855,10605,11326,11970,12811,13363,14340,14739,15988,16724,16959,17363,18272,18817,19061,19921,20767,21187,21565,21777,23242,22922,22834,23448,24050,24188,24387,25399,26747
"45035","Dorchester, SC","5","CA1","1","...","Personal income (thousands of dollars)",99073,110037,125353,142407,166682,199719,231227,271376,311081,371453,436603,511865,585891,637125,705363,809130,882415,955645,1043434,1143795,1254778,1372313,1429681,1488667,1547488,1585641,1603803,1669769,1779476,1859485,2012872,2182483,2409111,2577198,2769412,3055068,3284959,3531949,3839933,4147745,4169750,4334932,4635219,4757868,4832835,5154344,5406901,5606624
"45035","Dorchester, SC","5","CA1","2","...","Population (persons) 1/",31394,32748,34932,36725,39814,41341,45270,47020,49833,53000,55474,59689,62072,64444,66480,68722,70960,72918,76160,78595,81230,83847,86346,87029,88525,88429,87077,87122,89916,91869,94966,96757,98683,101067,104119,107337,113235,120136,126324,130593,133560,137505,140072,142466,145310,148499,152536,153773
"45035","Dorchester, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",3156,3360,3588,3878,4187,4831,5108,5772,6242,7009,7870,8576,9439,9886,10610,11774,12435,13106,13701,14553,15447,16367,16558,17105,17481,17931,18418,19166,19790,20241,21196,22556,24413,25500,26599,28462,29010,29400,30397,31761,31220,31526,33092,33397,33259,34710,35447,36460
"45037","Edgefield, SC","5","CA1","1","...","Personal income (thousands of dollars)",41664,42732,46227,52106,62905,63650,66679,81856,83160,93528,101777,113333,135610,139779,126522,158978,175120,183892,195804,215095,237623,250884,271310,293574,311142,338943,359061,349723,390772,414826,450341,482829,514154,535452,547165,618451,619825,621911,642007,685441,693066,717534,730200,769301,762748,799371,842320,867726
